@relation concrete
@attribute Cement real [102.0, 540.0]
@attribute BlastFurnaceSlag real [0.0, 359.4]
@attribute FlyAsh real [0.0, 200.100006]
@attribute Water real [121.8, 247.0]
@attribute Superplasticizer real [0.0, 32.200001]
@attribute CoarseAggregate real [801.0, 1145.0]
@attribute FineAggregate real [594.0, 992.6]
@attribute Age integer [1, 365]
@attribute ConcreteCompressiveStrength real [2.33, 82.6]
@inputs Cement, BlastFurnaceSlag, FlyAsh, Water, Superplasticizer, CoarseAggregate, FineAggregate, Age
@outputs ConcreteCompressiveStrength
@data
225.000000, 0.000000, 0.000000, 181.000000, 0.000000, 1113.000000, 833.000000, 28.000000, 17.340000
132.000000, 207.000000, 161.000000, 179.000000, 5.000000, 867.000000, 736.000000, 28.000000, 33.299999
159.800003, 250.000000, 0.000000, 168.399994, 12.200000, 1049.300049, 688.200012, 28.000000, 39.459999
331.000000, 0.000000, 0.000000, 192.000000, 0.000000, 1025.000000, 821.000000, 28.000000, 31.740000
339.000000, 0.000000, 0.000000, 185.000000, 0.000000, 1060.000000, 754.000000, 28.000000, 31.650000
150.000000, 236.800003, 0.000000, 173.800003, 11.900000, 1069.300049, 674.799988, 28.000000, 37.430000
480.000000, 0.000000, 0.000000, 192.000000, 0.000000, 936.200012, 712.200012, 28.000000, 43.939999
172.399994, 13.600000, 172.399994, 156.800003, 4.100000, 1006.299988, 856.400024, 56.000000, 35.849998
349.000000, 0.000000, 0.000000, 192.000000, 0.000000, 1056.000000, 809.000000, 90.000000, 40.660000
194.699997, 0.000000, 100.500000, 165.600006, 7.500000, 1006.400024, 905.900024, 3.000000, 12.450000
393.000000, 0.000000, 0.000000, 192.000000, 0.000000, 940.000000, 758.000000, 3.000000, 19.110001
321.399994, 0.000000, 127.900002, 182.500000, 11.500000, 870.099976, 779.700012, 28.000000, 37.270000
183.899994, 122.599998, 0.000000, 203.500000, 0.000000, 959.200012, 800.000000, 90.000000, 32.529999
214.899994, 53.799999, 121.900002, 155.600006, 9.600000, 1014.299988, 780.599976, 56.000000, 53.959999
310.000000, 0.000000, 0.000000, 192.000000, 0.000000, 1012.000000, 830.000000, 120.000000, 38.700001
439.000000, 177.000000, 0.000000, 186.000000, 11.100000, 884.900024, 707.900024, 28.000000, 66.000000
