@relation concrete
@attribute Cement real [102.0, 540.0]
@attribute BlastFurnaceSlag real [0.0, 359.4]
@attribute FlyAsh real [0.0, 200.100006]
@attribute Water real [121.8, 247.0]
@attribute Superplasticizer real [0.0, 32.200001]
@attribute CoarseAggregate real [801.0, 1145.0]
@attribute FineAggregate real [594.0, 992.6]
@attribute Age integer [1, 365]
@attribute ConcreteCompressiveStrength real [2.33, 82.6]
@inputs Cement, BlastFurnaceSlag, FlyAsh, Water, Superplasticizer, CoarseAggregate, FineAggregate, Age
@outputs ConcreteCompressiveStrength
@data
252.000000, 0.000000, 0.000000, 185.000000, 0.000000, 1111.000000, 784.000000, 7.000000, 13.710000
295.799988, 0.000000, 0.000000, 185.699997, 0.000000, 1091.400024, 769.299988, 7.000000, 14.840000
252.300003, 0.000000, 98.800003, 146.300003, 14.200000, 987.799988, 889.000000, 3.000000, 21.780001
172.399994, 13.600000, 172.399994, 156.800003, 4.100000, 1006.299988, 856.400024, 28.000000, 33.689999
162.000000, 214.000000, 164.000000, 202.000000, 10.000000, 820.000000, 680.000000, 28.000000, 30.650000
446.000000, 24.000000, 79.000000, 162.000000, 11.600000, 967.000000, 712.000000, 56.000000, 55.250000
540.000000, 0.000000, 0.000000, 173.000000, 0.000000, 1125.000000, 613.000000, 14.000000, 59.759998
154.800003, 0.000000, 142.800003, 193.300003, 9.100000, 1047.400024, 696.700012, 28.000000, 12.460000
167.399994, 129.899994, 128.600006, 175.500000, 7.800000, 1006.299988, 746.599976, 56.000000, 51.720001
277.000000, 0.000000, 0.000000, 191.000000, 0.000000, 968.000000, 856.000000, 14.000000, 21.260000
251.399994, 0.000000, 118.300003, 192.899994, 5.800000, 1043.599976, 754.299988, 100.000000, 40.150002
382.000000, 0.000000, 0.000000, 186.000000, 0.000000, 1047.000000, 739.000000, 7.000000, 24.000000
153.000000, 102.000000, 0.000000, 192.000000, 0.000000, 888.000000, 943.099976, 28.000000, 17.959999
400.000000, 0.000000, 0.000000, 187.000000, 0.000000, 1025.000000, 745.000000, 7.000000, 30.139999
397.000000, 0.000000, 0.000000, 186.000000, 0.000000, 1040.000000, 734.000000, 28.000000, 36.939999
275.100006, 0.000000, 121.400002, 159.500000, 9.900000, 1053.599976, 777.500000, 56.000000, 56.849998
154.000000, 144.000000, 112.000000, 220.000000, 10.000000, 923.000000, 658.000000, 28.000000, 16.500000
116.000000, 173.000000, 0.000000, 192.000000, 0.000000, 909.799988, 891.900024, 90.000000, 31.020000
387.000000, 20.000000, 94.000000, 157.000000, 13.900000, 938.000000, 845.000000, 56.000000, 47.970001
387.000000, 20.000000, 94.000000, 157.000000, 14.300000, 938.000000, 845.000000, 7.000000, 36.840000
288.000000, 121.000000, 0.000000, 177.000000, 7.000000, 908.000000, 829.000000, 28.000000, 42.130001
